Аранжмани на Драган Ѓаконовски - Шпато на вокални творби од други автори во фонотеката на Македонска Радио Телевизија МРТВ,

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,автор,изведувач,минути,сигнатура
Ана,Димитар Масевски,Зоран Милосављевиќ,2.38,Z-3531/3
Алдила,К. Донида,Блага Видец,4.05,АЗ-60/10
Аранхуез,Х. Родриго,Благоја Чешларов,4.05,З-1145/2
Ако отидеш,Ж.Брел,Нина Спирова,,АЗ-45/20
Ако отидеш,М. Емер,Забавен оркестар,3.40,АЗ-51/1
Ако животот,К. Сиари,Диме Поповски,3.32,З-1044/3
Андалузија,Е. Лекуона,Блага Видец,,АЗ-51/5
Ана бајон,Варт,Љупка Апостолова,,АЗ-53/6
Адиос,Е. Мадригера,Љупка Апостолова,,АЗ-53/5
Бакни ме,Драган Мијалковски,Драган Мијалковски,2.37,З-1721/3
"Беше мој, беше мој",Кочо Петровски,Виолета Томовска,3.15,АЗ-15/8
Бегај бегај Марија,Драган Мијалковски,Драган Мијалковски,3.23,З-3742/3
Бим бам бум,Х. Адамсон,Импулси,2.00,З-2219/4
Благодарам,Љубомир Бранѓолица,Нина Спирова,2.45,З-1222/1
Буквар мамбо,Димитар Масевски,Катица Ѓаконовска,,АЗ-60/13
Гордата Мери,Форгети,Андреа Сопронив,2.31,З-2061/4
Да потонам во твоите коси,Григор Копров,Веле Матевски,3.26,З-5626/1
Да си близу мила моја,Ванчо Тарабунов,Авторот,3.18,З-3995/1
Далеку некаде на југ,Григор Копров,РО,3.20,З-2649/1
Далеку во далечина,Јане Коџабашија,Диме Поповски,,З-2093/3
Девојката од Ипанема,Жобим,Импулси,2.21,З-1442/3
Девојката од 3 смена,Х. Крствески,Авторот,2.30,З-2012/1
Детство,Александар Џамбазов,РО Зоран Милосављевиќ,3.44,З-3527/3
Дожд а по него ништо,Димитар Масевски,Сашка Петковска,2.50,З-2071/2
Дождот нека плисне,К. Костадиновски,Верица Ристевска,,З-5106/1
Див цвет,Д. Тјомкин,Љупка Апостолова,,АЗ-55/17
Дојди,Александар Џамбазов,Виолета Томовска,3.05,З-262/3
Дојди ми,Слободан Николовски,Љупка Апостолова,,АЗ-55/1
Држи ме цврсто,Ванчо Димитров,Импулси
Џезаел,Провенте,Драган Мијалковски,2.41,З-2809/4
Да ме љубиш,Јане Коџабашија,,2.46,З-1714/2
Друг љубиш,Славе Димитров,Импулси,3.20,З-3783/3
Две реки,Сотир Голабовски
Честитки,Мартин,Диме Поповски,2.25,З-1005/1
Чувства,А. Морис,Цветанка Ласкова,4.00,З-5627/1
Еден бакнеж,Петар Пешев,Зоран Георгиев,,АЗ-10/3
Еден човек една сказна,Палавичини,Диме Поповски,2.05,З-336/2
"Еден човек, една жена",Баро Импулси,,3.13,З-2934/1
Есен во Рим,С. Кил,Христо Крстевски,,АЗ-49/3
Езерска тајна,Димитар Масевски,Ј. Митревска,3.23,З-2056/2
Фиеста,Жобим,Импулси,3.00,З-2558/1
Фолк соул,Кочо Петровски,Диме Поповски,3.02,З-2059/2
Фламенко рок,Малгони,Нина Спирова со ТО,,АЗ-61/13
Гога,Б.Танев,Кирил Рибарски,6.05,З-7962/2
Го љубам до најмалите ѕвезди,Димитар Масевски,Нина Спирова,2.49,З-3904/2
И можеби,Христо Крстевски,Нина Спирова
Илинденска,Круме Јовановски,Т. Веселинов
И утре че е ден,Александар Џамбазов,Зоран Милосављевиќ,3.36,З-984/4
Има ли ѕвезди,Григор Копров,Копров и Верица Ристевска,2.42,З-7176/2
Интимна румба,Александар Џамбазов,Зоран Георгиев,,АЗ-60/19
Играјте сенки,И. Стамаќ,Нина Спирова,,АЗ-45/22
Јас чекам,Димитар Масевски,Импулси,2.25,З-2534/1
Јас не сум Џон Траволта,К. Манев,К. Манев
Јужна ѕвезда,Александар Џамбазов,Зоран Георгиев,3.7,З-1365/3
Кажи зошто ме остави,Н.Гунарис,Томислав Маниќ
Кај си мајко,Григор Копров,Даниела Панчетовиќ,3.01,З-2740/1
Ќе наминеш кај мене,Димитар Масевски,Даниела Панчетовиќ,3.10,З-2071/3
Кејовите на Вардар,А. Лековски,Веле Матевски,3.20,З-2733/1
Кога бев млад,Петар Пешев,М. Станојковиќ,,АЗ-47/10
Кога цветаат липите,К. Мицевски,П. Христов,,З-5899/1
Кога ќе се вљубам,Панцери,Виолета Томовска,3.15,З-867/2
Кој да те колне,Драган Мијалковски,С. Грнчаровски,3.11,З-3770/1
Крајот на нашата љубов,Славе Димитров,Зоран Милосављевиќ,3.25,З-1704/3
Ќе дојде ден,Ф. Квин,Т. Веселинов,,АЗ-62/18
Ќе се препознаеш,Морган,Б. Петреска,2.32,З-3531/1
Калу,+++,Б. Автовски,,АЗ-53/1
Крајот на нашата љубов,Славе Димитров,Зоран Милосављевиќ
Кристина,Петар Лукиќ,Сефедин Бајрамов,4.00,7590/2
Кога ти не би постоела,+++,З. Јовановиќ,3.20,З-5828/2
Лихнида,Димитар Масевски,Зоран Милосављевиќ,2.47,З-2055/3
Луд бев по тебе,Миљачи,М. Колев,3.27,З-4079/1
Љубам,Христо Крстевски,Нина Спирова
Љубов и мотор,Александар Џамбазов,М. Станојковиќ,,АЗ-47/15
Љуби ме,Р. Пајдаков,Даниела Панчетовиќ
Љубов врати се,Ј. Велинов,С. Сариевска,,З-4029/1
Љубовта се раѓа,Химел,Христо Крстевски,2.28,З-1112/2
